Institution Name,Province/Territory,FY Start,Domestic Enrolment,International Enrolment,Francophone,% International
AB Total,Alberta,2020,153111,22641,0,12.88
AB Total,Alberta,2021,154866,24393,0,13.61
AB Total,Alberta,2022,153546,29148,0,15.95
AB Total,Alberta,2023,157794,35928,0,18.55
Alberta U of the Arts,Alberta,2020,972,90,0,8.47
Alberta U of the Arts,Alberta,2021,978,72,0,6.86
Alberta U of the Arts,Alberta,2022,1011,102,0,9.16
Alberta U of the Arts,Alberta,2023,1089,96,0,8.1
Ambrose U,Alberta,2020,555,24,0,4.15
Ambrose U,Alberta,2021,516,15,0,2.82
Ambrose U,Alberta,2022,486,27,0,5.26
Ambrose U,Alberta,2023,495,39,0,7.3
Athabasca U,Alberta,2020,7656,246,0,3.11
Athabasca U,Alberta,2021,7257,144,0,1.95
Athabasca U,Alberta,2022,7083,189,0,2.6
Athabasca U,Alberta,2023,7074,237,0,3.24
Bow Valley College,Alberta,2020,4749,1506,0,24.08
Bow Valley College,Alberta,2021,4989,1503,0,23.15
Bow Valley College,Alberta,2022,5391,1992,0,26.98
Bow Valley College,Alberta,2023,5646,2460,0,30.35
Burman U,Alberta,2020,282,87,0,23.58
Burman U,Alberta,2021,264,69,0,20.72
Burman U,Alberta,2022,282,60,0,17.54
Burman U,Alberta,2023,252,69,0,21.5
Concordia U of Edmonton,Alberta,2020,2355,543,0,18.74
Concordia U of Edmonton,Alberta,2021,2298,438,0,16.01
Concordia U of Edmonton,Alberta,2022,2082,450,0,17.77
Concordia U of Edmonton,Alberta,2023,2019,489,0,19.5
Grant MacEwan U,Alberta,2020,13950,474,0,3.29
Grant MacEwan U,Alberta,2021,13758,522,0,3.66
Grant MacEwan U,Alberta,2022,13638,561,0,3.95
Grant MacEwan U,Alberta,2023,14352,747,0,4.95
Keyano College,Alberta,2020,831,90,0,9.77
Keyano College,Alberta,2021,942,126,0,11.8
Keyano College,Alberta,2022,882,279,0,24.03
Keyano College,Alberta,2023,927,747,0,44.62
Lakeland College,Alberta,2020,1602,174,0,9.8
Lakeland College,Alberta,2021,1737,126,0,6.76
Lakeland College,Alberta,2022,1854,141,0,7.07
Lakeland College,Alberta,2023,1908,198,0,9.4
Lethbridge College,Alberta,2020,3870,489,0,11.22
Lethbridge College,Alberta,2021,3837,423,0,9.93
Lethbridge College,Alberta,2022,3675,633,0,14.69
Lethbridge College,Alberta,2023,3546,1119,0,23.99
Medicine Hat College,Alberta,2020,1650,207,0,11.15
Medicine Hat College,Alberta,2021,1596,186,0,10.44
Medicine Hat College,Alberta,2022,1605,258,0,13.85
Medicine Hat College,Alberta,2023,1686,357,0,17.47
Mount Royal U,Alberta,2020,12309,312,0,2.47
Mount Royal U,Alberta,2021,12720,342,0,2.62
Mount Royal U,Alberta,2022,12684,429,0,3.27
Mount Royal U,Alberta,2023,13068,510,0,3.76
NorQuest College,Alberta,2020,4851,1158,0,19.27
NorQuest College,Alberta,2021,4971,1524,0,23.46
NorQuest College,Alberta,2022,5277,2070,0,28.17
NorQuest College,Alberta,2023,5304,3282,0,38.23
Northern Alberta Institute of Technology,Alberta,2020,9609,1689,0,14.95
Northern Alberta Institute of Technology,Alberta,2021,9615,1578,0,14.1
Northern Alberta Institute of Technology,Alberta,2022,8973,1998,0,18.21
Northern Alberta Institute of Technology,Alberta,2023,9363,2415,0,20.5
Northern Lakes College,Alberta,2020,1089,9,0,0.82
Northern Lakes College,Alberta,2021,1212,9,0,0.74
Northern Lakes College,Alberta,2022,1347,9,0,0.66
Northern Lakes College,Alberta,2023,1500,18,0,1.19
Northwestern Polytechnic,Alberta,2020,1335,144,0,9.74
Northwestern Polytechnic,Alberta,2021,1362,99,0,6.78
Northwestern Polytechnic,Alberta,2022,1305,132,0,9.19
Northwestern Polytechnic,Alberta,2023,1395,300,0,17.7
Olds College,Alberta,2020,1044,87,0,7.69
Olds College,Alberta,2021,1095,78,0,6.65
Olds College,Alberta,2022,1089,108,0,9.02
Olds College,Alberta,2023,1149,420,0,26.77
Portage College,Alberta,2020,765,0,0,0.0
Portage College,Alberta,2021,858,39,0,4.35
Portage College,Alberta,2022,1008,174,0,14.72
Portage College,Alberta,2023,1314,93,0,6.61
Red Deer Polytechnic,Alberta,2020,3204,168,0,4.98
Red Deer Polytechnic,Alberta,2021,3105,252,0,7.51
Red Deer Polytechnic,Alberta,2022,3090,474,0,13.3
Red Deer Polytechnic,Alberta,2023,3210,762,0,19.18
Southern Alberta Institute of Technology,Alberta,2020,8865,1830,0,17.11
Southern Alberta Institute of Technology,Alberta,2021,8868,1998,0,18.39
Southern Alberta Institute of Technology,Alberta,2022,8544,3021,0,26.12
Southern Alberta Institute of Technology,Alberta,2023,8904,5016,0,36.03
St. Mary's U,Alberta,2020,984,12,0,1.2
St. Mary's U,Alberta,2021,975,15,0,1.52
St. Mary's U,Alberta,2022,918,12,0,1.29
St. Mary's U,Alberta,2023,894,6,0,0.67
The King's U,Alberta,2020,729,81,0,10.0
The King's U,Alberta,2021,789,75,0,8.68
The King's U,Alberta,2022,699,84,0,10.73
The King's U,Alberta,2023,696,96,0,12.12
U of Alberta,Alberta,2020,32451,7806,0,19.39
U of Alberta,Alberta,2021,34113,8115,0,19.22
U of Alberta,Alberta,2022,34653,8361,0,19.44
U of Alberta,Alberta,2023,35523,8259,0,18.86
U of Calgary,Alberta,2020,29790,4953,0,14.26
U of Calgary,Alberta,2021,29115,6063,0,17.24
U of Calgary,Alberta,2022,28824,6825,0,19.14
U of Calgary,Alberta,2023,29676,7011,0,19.11
U of Lethbridge,Alberta,2020,7614,462,0,5.72
U of Lethbridge,Alberta,2021,7896,582,0,6.86
U of Lethbridge,Alberta,2022,7146,759,0,9.6
U of Lethbridge,Alberta,2023,6804,1182,0,14.8
BC Institute of Technology,British Columbia,2020,9348,3021,0,24.42
BC Institute of Technology,British Columbia,2021,8877,1860,0,17.32
