"REF_DATE","GEO","DGUID","Field of study","Program type","Credential type","Institution type","Registration status","Status of student in Canada","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021/2022","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1607973747","1.1.1.1.1.2.2.1","1346997","","","","0"
"2022/2023","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1607973747","1.1.1.1.1.2.2.1","1321242","","","","0"
"2023/2024","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","Canadian students","Total, gender","Number","223","units","0","v1607973747","1.1.1.1.1.2.2.1","1344072","","","","0"
"2009/2010","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1607973751","1.1.1.1.1.2.3.1","105702","","","","0"
"2010/2011","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1607973751","1.1.1.1.1.2.3.1","114072","","","","0"
"2011/2012","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1607973751","1.1.1.1.1.2.3.1","127467","","","","0"
"2012/2013","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1607973751","1.1.1.1.1.2.3.1","141675","","","","0"
"2013/2014","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1607973751","1.1.1.1.1.2.3.1","160038","","","","0"
"2014/2015","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1607973751","1.1.1.1.1.2.3.1","181086","","","","0"
"2015/2016","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1607973751","1.1.1.1.1.2.3.1","195063","","","","0"
"2016/2017","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1607973751","1.1.1.1.1.2.3.1","219018","","","","0"
"2017/2018","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1607973751","1.1.1.1.1.2.3.1","254643","","","","0"
"2018/2019","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1607973751","1.1.1.1.1.2.3.1","296061","","","","0"
"2019/2020","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1607973751","1.1.1.1.1.2.3.1","340110","","","","0"
"2020/2021","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1607973751","1.1.1.1.1.2.3.1","329172","","","","0"
"2021/2022","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1607973751","1.1.1.1.1.2.3.1","360120","","","","0"
"2022/2023","Canada","2021A000011124","Total, field of study","Total, program type","Total, credential type","Total, institution type" ,"Full-time student","International students","Total, gender","Number","223","units","0","v1607973751","1.1.1.1.1.2.3.1","421920","","","","0"
